PID,SalePrice
907135180,138933.6927062879
528181040,223410.5383917603
528175010,222464.69843657757
531379030,186154.0858673487
923275090,136290.32043223665
528181070,239603.1257547653
908103280,139048.458393236
902201110,110107.14833355945
905103070,132991.99656162827
527162180,173855.29298381554
905450020,166377.6301951305
535301150,139199.47707376
535451170,87895.38205189942
909250060,217064.46380632417
527254020,342798.80965846835
911128180,68378.80097083445
534475170,186076.85417322355
535402180,105385.60239694748
528235180,168664.9146784587
907200130,143210.9786927598
906476030,189184.28879098783
923203090,141175.16690744594
903454020,100578.55030171905
534277060,116003.78976275737
535450220,141519.6355886421
527252090,326359.9614714617
535300040,142199.4305073404
533241010,212382.2161040914
903201090,124756.27404515297
921128030,400866.458415107
535180020,144620.48289901557
527106050,160383.83123890188
903233050,126599.74350683259
527105010,158338.92172690484
907196050,209640.94645575632
535375010,78841.14357734224
909455040,194820.87745773088
911370410,252411.02384175968
906223080,210199.9673226012
902204080,90148.26367592828
916225130,281090.4965110344
534400060,168264.91496631844
528178090,352611.02075272764
528235190,187663.7956566468
906477110,160328.61904840436
902106090,135949.32241981284
535327160,125186.98312657909
909129100,132636.66816506203
909281110,250992.77151011236
528188120,200816.11662272844
528150120,334679.83296270063
535125060,224356.3398735754
906380120,198653.43904513988
527451020,123343.64668303152
528429100,274189.409242976
527132090,269974.43608920736
902427045,103463.26328655967
923276260,146951.12107805634
907290140,132842.45046161127
906380100,310033.42470578605
527377110,181771.78974293696
535379110,116469.2874052167
527427230,161874.1220945024
905105010,133398.94803390114
533215080,291953.0444423832
903484080,86604.96873129751
528441080,266147.98279921216
528120100,252321.95122194156
902301060,98151.39565425387
528231050,172641.64636897235
535353190,151124.98019419014
907201280,144244.04373536544
528315080,312516.4876737235
531375060,167156.81716115656
906200230,192482.66000026674
527451550,114033.58515277901
902103090,113763.109505029
534401190,145517.42574913352
909425085,256056.25882985257
526352080,181606.02492528144
907126050,148337.1195128102
905352180,219133.96170531734
533212060,135375.54814849663
527356050,145577.6662062612
534479240,149325.25118451982
906226130,137911.67590749025
923228210,73373.44832769618
903227080,119402.27320046458
535179120,125029.2620691894
908201100,91587.55015773984
532479050,132126.2580023943
534402060,129201.57645388298
902109160,138195.8771773146
904302030,140306.55744809093
902300215,115982.01785895135
903228070,109818.94511293313
902406070,129252.49744607715
907410020,190387.94467520542
528365090,339347.5749914519
534450110,88612.69875091802
527146135,363460.66529065464
535325340,129541.30225390478
534452060,104899.12785148036
535325090,125186.98312657909
534202130,124506.56431048564
528118020,333272.9939095458
527214050,411855.7268580955
907401060,223142.63130994554
905104210,125274.22007610303
905225080,264244.1768476992
535178060,150069.95723373108
914476450,166069.86538195558
533250050,204187.6673453901
535450070,145528.68868273235
528181060,245653.2729190462
535454100,122547.20862706563
534476080,138080.81972116994
909452114,222644.3901957977
903476090,160695.8141836043
904101040,172023.48517377826
534431030,131703.8571814765
910202060,87490.43370591203
916386090,275995.037113256
527451460,108545.15469885434
528290120,187643.89571010086
531375090,147204.90757434082
527403040,137484.86955537798
535453020,144754.36500276375
911175360,78711.40653914161
528228545,184050.19722703882
534275100,122064.56959768693
528142040,361566.67572131567
527357110,124429.10007834199
528480170,292493.3524627943
905226030,114299.38192008378
905104110,129582.5833950752
528480070,276288.2564475421
528386040,387772.85267574165
535453100,134511.5211038831
907192030,197477.10708885486
